2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
30:13,29:28,31:41,34:47,31:34,32:14,28:39,35:07,29:01,33:55,34:33,33:52
33:58,32:54,33:11,35:37,34:31,32:27,32:46,35:25,29:04,35:53,34:34,34:00
34:47,33:07,34:43,35:37,35:25,33:54,33:31,35:31,33:49,36:26,35:04,34:18
35:45,34:19,34:18,35:55,35:31,34:05,35:22,35:38,34:10,36:26,35:07,35:00
35:53,34:44,35:39,36:10,35:45,34:14,35:24,35:54,34:26,36:38,35:49,35:35
35:56,34:56,36:09,36:15,35:55,34:31,35:39,36:02,35:05,37:14,36:40,35:55
35:56,34:57,36:01,36:18,36:07,35:06,35:43,36:29,35:10,37:58,36:45,36:12
36:36,34:59,36:03,36:25,36:12,35:07,36:32,36:46,36:00,38:04,38:07,36:14
36:48,36:14,36:07,36:25,36:48,35:08,36:47,37:13,36:23,38:06,38:35,36:35
36:57,36:15,36:15,37:24,37:12,35:17,36:48,37:26,36:45,38:06,39:01,37:32
32:05,31:11,32:26,35:12,33:02,32:21,30:42,35:16,29:02,34:54,34:34,33:56
